timestamp,open,high,low,close,volume
2023-11-17,36164.25,36801.37,35862.2,36617.34,3704.09059
2023-11-18,36612.48,36848.45,36183.95,36571.51,1664.37703
2023-11-19,36575.66,37502.52,36384.72,37364.18,1953.50489
2023-11-20,37364.19,37753.44,36700.0,37454.23,3402.80116
2023-11-21,37450.55,37645.11,35731.83,35753.46,4930.53422
2023-11-22,35737.07,37857.99,35631.29,37411.65,4037.82161
2023-11-23,37414.9,37643.31,36878.82,37294.38,1820.35472
2023-11-24,37294.57,38414.81,37253.03,37718.25,3160.42536
2023-11-25,37718.26,37884.46,37585.28,37783.88,967.88183
2023-11-26,37783.89,37814.52,37150.48,37448.5,1741.18459
2023-11-27,37448.5,37563.09,36710.25,37242.99,2708.87271
2023-11-28,37242.99,38378.37,36869.64,37822.3,2259.53752
2023-11-29,37822.31,38471.96,37576.36,37855.38,2474.30225
2023-11-30,37854.53,38146.52,37495.39,37722.97,1927.89266
2023-12-01,37729.09,38985.95,37613.51,38686.95,2996.51599
2023-12-02,38682.32,39837.69,38639.09,39450.17,1886.47421
2023-12-03,39445.88,40300.0,39279.57,39975.87,2240.57206
2023-12-04,39975.88,42435.25,39972.1,41988.51,6440.81993
2023-12-05,41990.26,44502.0,41400.01,44081.48,6591.30726
2023-12-06,44081.47,44294.51,43373.57,43762.31,5179.78447
2023-12-07,43762.29,44046.38,42825.03,43270.83,4035.6783
2023-12-08,43270.27,44709.99,43076.31,44171.35,3733.92003
2023-12-09,44177.31,44358.03,43564.81,43709.95,2797.96455
2023-12-10,43709.95,44048.26,43554.12,43785.57,2289.55761
2023-12-11,43786.47,43806.0,40223.46,41244.96,7216.52074
2023-12-12,41244.6,42105.0,40671.68,41492.61,4822.85389
2023-12-13,41494.94,43488.27,40561.55,42871.58,6258.04059
2023-12-14,42870.87,43419.17,41330.69,43023.78,5911.97169
2023-12-15,43026.66,43086.22,41660.75,41938.83,3924.23163
2023-12-16,41942.09,42718.0,41615.4,42273.38,3130.01811
2023-12-17,42273.38,42430.3,41245.76,41372.94,3703.51178
2023-12-18,41379.9,42760.29,40542.0,42653.97,5858.96881
2023-12-19,42653.98,43500.0,41812.23,42277.53,5811.15491
2023-12-20,42277.53,44286.78,42205.12,43670.34,6650.73949
2023-12-21,43671.71,44244.72,43300.01,43862.41,5843.99498
2023-12-22,43864.64,44400.0,43411.55,43967.51,4924.65022
2023-12-23,43964.81,43990.07,43296.54,43706.45,2716.78281
2023-12-24,43703.81,43951.25,42518.13,43001.61,3631.8756
2023-12-25,42996.68,43806.4,42729.18,43575.91,4493.71246
2023-12-26,43574.2,43598.74,41593.04,42507.83,6156.88813
2023-12-27,42509.3,43667.04,42105.32,43432.99,6040.77919
2023-12-28,43432.99,43790.85,42269.05,42562.29,6039.47862
2023-12-29,42562.38,43107.65,41222.0,42065.58,6981.88812
2023-12-30,42065.59,42608.91,41518.9,42141.94,5409.56441
2023-12-31,42142.17,42890.23,41966.96,42289.31,4877.21426
2024-01-01,42287.24,44194.43,42184.86,44179.56,5409.70037
2024-01-02,44178.33,45881.47,44147.37,44952.4,8812.58303
2024-01-03,44954.42,45511.43,40402.27,42840.0,8727.49792
2024-01-04,42841.2,44736.07,42615.04,44135.27,8130.1109
2024-01-05,44154.73,44660.13,42404.52,44150.59,8463.43334
2024-01-06,44145.97,44211.73,43395.62,43971.71,5205.61785
2024-01-07,43962.77,44481.8,43604.09,43927.32,5339.27856
2024-01-08,43929.99,47249.0,43178.67,46952.8,8445.23283
2024-01-09,46952.81,47930.59,44921.22,46107.79,7463.77778
2024-01-10,46107.79,47687.45,44311.66,46650.5,4574.32749
2024-01-11,46654.71,48963.82,45588.0,46338.6,5668.13668
2024-01-12,46338.59,46513.13,41412.25,42784.2,7779.77507
2024-01-13,42785.21,43253.88,42436.85,42846.9,5121.61953
2024-01-14,42844.96,43082.81,41722.2,41731.02,5449.27284
2024-01-15,41730.85,43379.17,41713.66,42516.78,4117.56651
2024-01-16,42511.36,43572.26,42071.34,43137.72,5892.7307
2024-01-17,43137.73,43199.03,42205.32,42776.87,6151.87147
2024-01-18,42776.88,42928.24,40680.07,41326.0,7802.92636
2024-01-19,41328.76,42189.31,40274.8,41657.28,8183.47425
2024-01-20,41657.28,41868.1,41457.74,41692.14,4104.48354
2024-01-21,41690.13,41880.56,41502.16,41580.52,2551.53758
2024-01-22,41580.53,41691.59,39427.29,39562.93,8560.08482
2024-01-23,39562.94,40174.67,38556.0,39893.42,7215.21202
2024-01-24,39893.42,40556.53,39490.97,40085.76,7060.01901
2024-01-25,40085.76,40306.7,39551.55,39962.35,6677.63234
2024-01-26,39962.36,42243.07,39823.63,41822.3,8041.23338
2024-01-27,41822.3,42196.82,41403.69,42121.05,3483.37727
2024-01-28,42121.05,42833.12,41624.0,42031.52,6888.27055
2024-01-29,42032.19,43315.58,41809.01,43300.9,6902.21212
2024-01-30,43300.91,43872.38,42689.01,42944.92,6840.36552
2024-01-31,42943.01,43746.99,42286.7,42586.64,8439.19261
2024-02-01,42585.02,43284.01,41877.15,43086.0,5610.37032
2024-02-02,43086.0,43482.28,42552.02,43200.3,3795.31077
2024-02-03,43200.31,43375.7,42882.79,43008.3,1588.29476
2024-02-04,43008.3,43115.51,42230.14,42585.32,1918.14826
2024-02-05,42585.33,43575.68,42252.42,42712.42,4384.96071
2024-02-06,42712.42,43392.81,42570.97,43101.74,4626.14372
2024-02-07,43101.74,44402.17,42785.01,44349.13,5006.54214
2024-02-08,44349.14,45620.26,44327.86,45291.01,6265.05942
2024-02-09,45291.01,48294.27,45244.8,47132.26,9411.4482
2024-02-10,47132.09,48169.44,46850.05,47748.98,5261.12178
2024-02-11,47748.99,48595.23,47562.75,48301.71,6755.77907
2024-02-12,48303.0,50340.07,47709.01,49923.01,8527.10892
2024-02-13,49923.01,50362.89,48305.56,49698.04,7930.2547
2024-02-14,49700.78,52097.01,49233.01,51794.1,8631.34654
2024-02-15,51798.29,52837.41,51307.69,51880.06,9609.65824
